[time=89]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1036988], [ incrementalVisited = 0] ,[totalVisited = 11588] 
[time=90]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1037567], [ incrementalVisited = 0] ,[totalVisited = 11009] 
[time=91]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1038117], [ incrementalVisited = 0] ,[totalVisited = 10459] 
[time=92]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1038639], [ incrementalVisited = 0] ,[totalVisited = 9937] 
[time=93]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1039135], [ incrementalVisited = 0] ,[totalVisited = 9441] 
[time=94]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1039607], [ incrementalVisited = 0] ,[totalVisited = 8969] 
[time=95]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1040055], [ incrementalVisited = 0] ,[totalVisited = 8521] 
[time=96]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1040481], [ incrementalVisited = 0] ,[totalVisited = 8095] 
[time=97]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1040885], [ incrementalVisited = 0] ,[totalVisited = 7691] 
[time=98]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1041269], [ incrementalVisited = 0] ,[totalVisited = 7307] 
[time=99]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1041634], [ incrementalVisited = 0] ,[totalVisited = 6942] 
